deliveryDay,period,deliveryStart,deliveryEnd,price,priceWeightedAverage,priceAverage,lastPrice,minimalPrice,maximalPrice,successfulVolume,purchaseSuccessfulVolume,saleSuccessfulVolume
2025-03-01,1,2025-02-28T23:00:00Z,2025-03-01T00:00:00Z,122.9,122.9,120.94,118.41,115.69,138.37,23.0,9.1,13.9
2025-03-01,2,2025-03-01T00:00:00Z,2025-03-01T01:00:00Z,122.32,122.32,120.33,119.34,115.47,131.39,40.2,19.3,20.9
2025-03-01,3,2025-03-01T01:00:00Z,2025-03-01T02:00:00Z,116.82,116.82,117.01,125.99,112.76,125.99,29.6,18.5,11.1
2025-03-01,4,2025-03-01T02:00:00Z,2025-03-01T03:00:00Z,111.44,111.44,112.04,113.3,108.5,114.41,27.0,13.4,13.6
2025-03-01,5,2025-03-01T03:00:00Z,2025-03-01T04:00:00Z,112.72,112.72,111.34,115.61,106.77,122.49,33.6,18.4,15.2
2025-03-01,6,2025-03-01T04:00:00Z,2025-03-01T05:00:00Z,115.8,115.8,114.42,116.91,110.55,127.38,36.0,16.9,19.1
2025-03-01,7,2025-03-01T05:00:00Z,2025-03-01T06:00:00Z,121.58,121.58,120.18,118.12,116.02,132.11,56.5,22.1,34.4
2025-03-01,8,2025-03-01T06:00:00Z,2025-03-01T07:00:00Z,136.72,136.72,136.16,138.13,132.0,148.49,54.3,13.5,40.8
2025-03-01,9,2025-03-01T07:00:00Z,2025-03-01T08:00:00Z,138.87,138.87,138.42,137.01,133.1,145.15,100.2,24.8,75.4
2025-03-01,10,2025-03-01T08:00:00Z,2025-03-01T09:00:00Z,136.48,136.48,135.63,130.0,130.0,140.12,153.4,34.7,118.7
2025-03-01,11,2025-03-01T09:00:00Z,2025-03-01T10:00:00Z,120.83,120.83,120.47,125.0,101.0,139.28,175.4,45.9,129.5
2025-03-01,12,2025-03-01T10:00:00Z,2025-03-01T11:00:00Z,109.87,109.87,107.88,100.81,100.81,126.39,190.3,58.3,132.0
2025-03-01,13,2025-03-01T11:00:00Z,2025-03-01T12:00:00Z,99.11,99.11,100.06,75.03,75.03,115.49,122.6,34.0,88.6
2025-03-01,14,2025-03-01T12:00:00Z,2025-03-01T13:00:00Z,97.2,97.2,96.33,98.27,92.81,108.01,142.3,17.8,124.5
2025-03-01,15,2025-03-01T13:00:00Z,2025-03-01T14:00:00Z,98.13,98.13,97.59,95.9,91.7,114.38,102.3,15.0,87.3
2025-03-01,16,2025-03-01T14:00:00Z,2025-03-01T15:00:00Z,88.13,88.13,81.02,65.0,25.02,124.87,33.8,16.9,16.9
2025-03-01,17,2025-03-01T15:00:00Z,2025-03-01T16:00:00Z,117.03,117.03,117.27,119.16,83.49,126.51,124.5,33.2,91.3
2025-03-01,18,2025-03-01T16:00:00Z,2025-03-01T17:00:00Z,114.62,114.62,117.97,100.02,85.0,145.7,158.8,37.4,121.4
2025-03-01,19,2025-03-01T17:00:00Z,2025-03-01T18:00:00Z,133.92,133.92,127.23,127.01,100.01,148.99,124.4,25.5,98.9
2025-03-01,20,2025-03-01T18:00:00Z,2025-03-01T19:00:00Z,138.78,138.78,144.57,165.12,125.0,165.12,149.7,18.8,130.9
2025-03-01,21,2025-03-01T19:00:00Z,2025-03-01T20:00:00Z,129.69,129.69,131.47,145.47,126.0,146.7,102.0,19.8,82.2
2025-03-01,22,2025-03-01T20:00:00Z,2025-03-01T21:00:00Z,123.72,123.72,122.62,140.73,75.0,140.8,201.8,79.3,122.5
2025-03-01,23,2025-03-01T21:00:00Z,2025-03-01T22:00:00Z,124.91,124.91,123.97,118.1,118.1,135.22,14.5,8.7,5.8
2025-03-01,24,2025-03-01T22:00:00Z,2025-03-01T23:00:00Z,115.84,115.84,112.81,111.9,95.21,131.82,34.9,13.7,21.2
